,index,product,brand,price,rating,score,toxLowrisk,toxMedRisk,toxHighRisk,toxNA
0,6165,Bionic Anti-Aging Cream,Sunday Riley,,0.0,0.464786731806457,0.85,0.05,0.075,0.025
1,6541,Start Over Active Eye Cream,Sunday Riley,,0.0,0.39591386453987876,0.8,0.08,0.08,0.04
2,6811,Ultra Lite Oil Free Moisturizing Dew,DDF - Doctor's Dermatologic Formula,,0.0,0.22601365685911945,0.7407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035
3,9286,Sunscreen Everyday Face SPF 50+,Hamilton,,0.0,0.2243956704303879,0.8695652173913043,0.13043478260869565,0.0,0.0
4,2066,Overnight Peel With Alpha Hydroxy Acids,derma e,16.62,4.0,0.22375970410734003,0.8181818181818182,0.18181818181818182,0.0,0.0
5,3437,Oil Free Facial Lotion SPF 15,Anthony,,0.0,0.21590424077894627,0.7222222222222222,0.1111111111111111,0.1111111111111111,0.05555555555555555
6,3396,Oil-Free Facial Lotion,Anthony,,0.0,0.21551526999930992,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111
7,6376,Hydrating Eye Complex,Exuviance,,0.0,0.20742898924221856,0.9285714285714286,0.07142857142857142,0.0,0.0
8,15738,Daily Moisture Therapy Cleanser,Physiogel,24.99,3.3,0.19553431612764927,0.6,0.1,0.3,0.0
9,14715,Skin Lighten Natural Fade and Age Spot Creme,derma e,54.2,0.0,0.19178090398075237,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.0
10,1561,S-Venom Wrinkle Tox Cream,Mizon,24.99,4.3,0.19125116310831344,0.8285714285714286,0.08571428571428572,0.05714285714285714,0.02857142857142857
11,15414,Nourishing Skin Cream,Himalaya,4.99,3.7,0.188871067800486,0.7,0.2,0.1,0.0
12,993,Nu-Derm Exfoderm Forte,Obagi,,5.0,0.17983438821408085,0.5714285714285714,0.35714285714285715,0.07142857142857142,0.0
13,1905,Firming DMAE Moisturizer,derma e,18.0,4.1,0.17495164951932712,0.8,0.1,0.1,0.0
14,1644,Anti Wrinkle Vitamin A Retinyl Palmitate Creme,derma e,9.36,4.2,0.17486203616948826,0.9,0.05,0.05,0.0
15,4154,Clarifying Night Cream,Proactiv,,0.0,0.17429859497335837,0.7297297297297297,0.10810810810810811,0.16216216216216217,0.0
16,12796,Natural Aloe Mask Sheet,THE SAEM,,0.0,0.17124953234699755,0.9130434782608695,0.043478260869565216,0.043478260869565216,0.0
17,14978,Appletox Smooth Massage Peeling Cream,TONYMOLY,12.9,0.0,0.16988642971272577,0.6764705882352942,0.20588235294117646,0.058823529411764705,0.058823529411764705
18,7023,Luminique,Hydroxatone,,0.0,0.16916487631973226,0.8461538461538461,0.07692307692307693,0.05128205128205128,0.02564102564102564
19,6322,Eye Brightening Cream,Belli,,0.0,0.16888349052750307,0.8888888888888888,0.07407407407407407,0.0,0.037037037037037035
